ÚLTIMA ATUALIZAÇÃO;30/11/2025 05:02
VÍNCULO;CATEGORIA;CARGO;REFERÊNCIA CARGO;SÍMBOLO FUNÇÃO;ANO EXERCÍCIO;LOTAÇÃO EXERCÍCIO;TIPO FOLHA;REMUN_BASICA;VANT_PESSOAIS;FUNC_COMISSIONADA;GRAT_NATALINA;HORAS_EXTRAS;OUTRAS_EVENTUAIS;ABONO_PERMANENCIA;REVERSAO_TETO_CONST;IMPOSTO_RENDA;PREVIDÊNCIA;FALTAS;REM_LIQUIDA;DIÁRIAS;AUXÍLIOS;VANT_INDENIZATORIAS
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2019;Gabinete do Senador Veneziano Vital do Rêgo;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2013;Serviço de Apoio às Contratações de TI;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1938,37;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2020;Gabinete da DGER;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1861,82;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gab do Segundo Suplente de Secretário;Normal;2807,53;0;0;0;0;0;0;0;0;0;0;2807,53;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2011;Gab do Segundo Suplente de Secretário;Suplementar;0;0;0;0;0;57,83;0;0;0;0;0;57,83;0;0;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2007;Serviço de Direitos e Deveres Funcionais;Normal;3909,93;0;0;0;0;36,22;0;0;-106,67;-366,95;0;3472,53;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Núcleo de Atend. da Secretaria Integrada de Saúde;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1837,31;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2008;Conselho Editorial;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;3020,25;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2023;Escritório de Apoio 1 do Senador Jaime Bagattoli;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2014;Serviço de Cadastro Parlam. e Pessoal Comissionado;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1784,47;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Cargos e Seleção;Normal;3909,93;0;0;0;0;13,61;0;0;-103,28;-364,24;0;3456,02;0;1761,81;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2017;Serviço de Gestão de Estágios;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;3102,15;0
COMISSIONADO;CARGO EM COMISSÃO;AJUDANTE PARLAMENTAR INTERMEDIÁRIO;AP-02;;2009;Serviço de Gestão de Arquivo Intermediário;Normal;3909,93;0;0;0;0;0;0;0;-101,23;-362,61;0;3446,09;0;1844,87;0
